,0.0,0.01,0.1,0.5
0,9.75,9.700000000000001,11.899999999999999,10.0
1,9.65,10.4,9.45,10.05
2,9.25,9.85,10.4,10.95
3,12.85,11.5,12.65,10.25
4,13.05,12.2,13.8,12.15
5,14.899999999999999,13.25,14.649999999999999,11.95
6,15.6,16.55,16.75,12.4
7,17.9,17.45,18.05,15.1
8,19.400000000000002,18.75,18.3,15.35
9,21.3,20.0,20.5,16.0
10,21.5,21.349999999999998,21.2,16.35
11,24.0,22.5,22.15,16.85
12,24.099999999999998,23.7,23.7,17.45
13,25.4,24.75,24.349999999999998,19.3
14,26.650000000000002,25.95,25.6,20.7
15,27.500000000000004,26.700000000000003,26.8,20.849999999999998
16,28.15,26.950000000000003,27.05,22.5
17,28.7,27.900000000000002,27.650000000000002,21.5
18,29.049999999999997,28.999999999999996,29.4,20.9
19,29.599999999999998,29.349999999999998,29.099999999999998,22.6
20,30.45,29.349999999999998,29.7,25.35
21,30.4,29.95,30.349999999999998,23.200000000000003
22,31.35,30.2,31.15,23.9
23,31.5,31.3,31.6,23.9
24,32.0,31.5,31.55,25.05
25,32.15,31.5,31.7,25.8
26,32.35,31.95,32.15,28.549999999999997
27,32.35,32.2,33.15,26.35
28,32.85,32.35,33.2,27.500000000000004
29,32.75,32.4,33.25,28.000000000000004
30,32.85,32.35,33.4,28.449999999999996
31,33.050000000000004,32.6,32.7,29.2
32,33.15,32.550000000000004,33.800000000000004,27.500000000000004
33,33.4,32.45,33.45,29.95
34,33.550000000000004,32.95,34.55,31.55
35,33.550000000000004,33.050000000000004,34.300000000000004,29.9
36,33.75,33.0,35.75,31.75
37,33.7,33.35,35.25,31.0
38,33.800000000000004,33.35,35.949999999999996,32.1
39,33.800000000000004,33.75,35.9,32.2
40,33.75,33.7,36.199999999999996,31.65
41,33.95,33.85,36.449999999999996,33.15
42,34.1,33.900000000000006,36.25,33.25
43,34.1,33.900000000000006,35.85,32.1
44,34.150000000000006,34.0,37.85,33.5
45,34.150000000000006,34.150000000000006,37.6,33.45
46,34.2,34.150000000000006,37.25,33.800000000000004
47,34.2,34.449999999999996,37.3,34.35
48,34.150000000000006,34.5,38.4,34.0
49,34.2,34.1,37.95,34.599999999999994
50,34.2,34.65,37.8,34.2
51,34.150000000000006,34.449999999999996,38.3,35.65
52,34.2,34.4,39.7,38.2
53,34.300000000000004,34.5,39.300000000000004,34.8
54,34.35,34.5,39.0,35.3
55,34.449999999999996,34.35,39.800000000000004,35.35
56,34.449999999999996,34.4,39.5,36.3
57,34.449999999999996,34.55,39.900000000000006,38.95
58,34.5,34.8,40.849999999999994,38.9
59,34.599999999999994,34.8,40.75,37.4
60,34.55,34.8,40.5,38.1
61,34.5,34.849999999999994,40.1,35.949999999999996
62,34.55,35.0,40.75,38.25
63,34.55,34.9,41.15,38.15
64,34.75,35.099999999999994,40.9,38.65
65,34.75,35.05,41.199999999999996,36.75
66,34.75,34.949999999999996,40.550000000000004,38.3
67,34.8,35.05,41.099999999999994,37.55
68,34.8,35.25,41.55,40.6
69,34.75,35.0,41.3,39.5
70,34.75,35.099999999999994,41.9,38.05
71,34.75,35.099999999999994,43.0,39.050000000000004
72,34.75,35.0,42.8,40.25
73,34.75,35.199999999999996,42.6,39.5
74,34.8,35.15,42.15,40.050000000000004
75,34.8,35.099999999999994,43.05,39.6
76,34.8,35.25,42.95,40.35
77,34.8,35.6,43.35,41.4
78,34.849999999999994,35.5,44.25,39.95
79,34.8,35.6,43.85,40.849999999999994
80,34.849999999999994,35.75,43.4,39.2
81,34.8,35.6,42.75,41.4
82,34.8,35.75,43.7,40.5
83,34.8,35.699999999999996,44.0,41.199999999999996
84,34.849999999999994,35.75,44.05,41.75
85,34.8,36.0,44.9,42.449999999999996
86,34.8,35.949999999999996,45.0,43.25
87,34.8,36.0,43.75,42.25
88,34.9,35.699999999999996,44.6,40.949999999999996
89,34.949999999999996,36.0,44.4,44.0
90,34.949999999999996,36.3,44.6,42.449999999999996
91,34.949999999999996,35.949999999999996,45.300000000000004,42.6
92,34.949999999999996,36.0,44.5,42.55
93,34.949999999999996,36.0,46.0,41.25
94,34.949999999999996,36.35,46.150000000000006,43.05
95,35.0,36.25,45.0,42.5
96,34.949999999999996,36.3,45.5,42.15
97,34.949999999999996,36.5,46.550000000000004,42.65
98,35.0,36.1,45.75,42.6
99,35.0,36.4,46.0,42.95
100,35.05,36.4,46.949999999999996,43.4
101,35.05,35.949999999999996,45.7,42.05
102,35.05,36.05,46.6,43.3
103,35.0,36.1,46.800000000000004,43.2
104,35.0,36.25,46.85,42.8
105,35.0,36.25,47.699999999999996,44.4
106,35.0,36.15,47.699999999999996,43.0
107,35.0,36.35,47.65,43.05
108,35.0,36.25,48.25,42.5
109,35.0,36.4,48.05,42.1
110,35.0,36.5,48.4,44.65
111,35.05,36.5,48.35,42.65
112,35.099999999999994,36.449999999999996,48.4,45.2
113,35.099999999999994,36.25,48.199999999999996,44.45
114,35.099999999999994,36.0,48.3,43.85
115,35.099999999999994,36.6,47.75,43.55
116,35.15,36.449999999999996,49.2,43.8
117,35.099999999999994,36.5,49.75,43.1
118,35.099999999999994,36.199999999999996,49.3,44.55
119,35.099999999999994,36.3,48.55,43.15
120,35.099999999999994,36.5,49.3,45.4
121,35.099999999999994,36.35,50.55,44.15
122,35.099999999999994,36.7,50.24999999999999,44.6
123,35.099999999999994,36.4,50.1,45.5
124,35.099999999999994,36.75,50.05,44.55
125,35.099999999999994,36.85,49.65,44.25
126,35.099999999999994,36.75,50.05,45.2
127,35.099999999999994,36.65,50.1,44.85
128,35.099999999999994,36.65,49.75,45.25
129,35.099999999999994,36.9,50.1,45.15
130,35.099999999999994,36.8,51.15,45.65
131,35.099999999999994,36.75,51.2,44.95
132,35.099999999999994,36.65,50.5,43.75
133,35.099999999999994,36.7,51.55,43.85
134,35.099999999999994,36.95,51.2,45.35
135,35.15,37.0,50.14999999999999,45.9
136,35.099999999999994,37.0,50.7,45.75
137,35.099999999999994,37.15,51.6,45.1
138,35.099999999999994,37.05,50.6,46.949999999999996
139,35.099999999999994,36.9,51.300000000000004,45.15
140,35.099999999999994,37.0,51.4,46.35
141,35.099999999999994,36.9,51.300000000000004,46.300000000000004
142,35.099999999999994,37.15,51.449999999999996,47.099999999999994
143,35.099999999999994,37.25,52.2,46.45
144,35.099999999999994,37.0,52.800000000000004,45.25
145,35.099999999999994,37.25,52.800000000000004,45.300000000000004
146,35.15,37.25,53.300000000000004,45.800000000000004
147,35.099999999999994,37.05,53.0,45.25
148,35.099999999999994,37.6,53.15,43.4
149,35.099999999999994,37.25,54.1,44.5
150,35.099999999999994,37.35,53.7,46.1
151,35.099999999999994,37.35,54.400000000000006,46.1
152,35.099999999999994,37.45,54.449999999999996,44.6
153,35.099999999999994,37.3,53.7,47.25
154,35.099999999999994,37.45,53.1,46.9
155,35.15,37.55,55.2,46.300000000000004
156,35.099999999999994,37.35,53.800000000000004,46.7
157,35.099999999999994,37.5,52.449999999999996,43.9
158,35.099999999999994,37.55,53.55,45.6
159,35.099999999999994,37.7,54.50000000000001,47.9
160,35.15,37.7,54.50000000000001,46.75
161,35.199999999999996,37.45,53.849999999999994,48.1
162,35.199999999999996,37.4,55.1,46.650000000000006
163,35.199999999999996,37.5,55.65,47.05
164,35.199999999999996,37.55,56.49999999999999,46.2
165,35.15,37.6,55.45,46.400000000000006
166,35.15,37.6,54.75,45.95
167,35.15,37.65,55.50000000000001,47.05
168,35.15,37.8,56.599999999999994,47.05
169,35.15,37.6,55.00000000000001,47.199999999999996
170,35.15,37.7,56.05,45.0
171,35.15,37.6,56.2,48.1
172,35.15,37.55,56.35,48.449999999999996
173,35.15,37.8,56.00000000000001,45.65
174,35.15,37.7,56.39999999999999,48.25
175,35.15,37.8,57.550000000000004,45.9
176,35.15,37.7,57.25,47.25
177,35.15,38.05,56.8,46.800000000000004
178,35.15,37.65,57.199999999999996,45.95
179,35.15,37.9,57.35,46.2
180,35.15,37.85,56.45,46.949999999999996
181,35.15,38.0,58.15,44.55
182,35.15,37.95,57.49999999999999,47.349999999999994
183,35.15,37.95,57.4,46.75
184,35.199999999999996,37.8,57.4,47.65
185,35.199999999999996,38.1,56.89999999999999,47.75
186,35.199999999999996,37.9,58.45,46.5
187,35.15,37.95,57.9,45.050000000000004
188,35.199999999999996,38.05,57.35,46.650000000000006
189,35.199999999999996,38.15,57.599999999999994,46.75
190,35.199999999999996,38.2,58.25,45.15
191,35.199999999999996,38.35,58.75,48.449999999999996
192,35.199999999999996,38.4,58.099999999999994,47.699999999999996
193,35.199999999999996,38.3,58.4,48.15
194,35.199999999999996,38.6,58.4,47.4
