,"Realistic, ε=0.1, Q₁=0","Optimistic, ε=0, Q₁=5"
0,9.75,9.5
1,9.85,10.25
2,10.45,11.1
3,11.0,9.4
4,14.249999999999998,11.4
5,15.2,10.35
6,15.15,10.25
7,16.1,10.7
8,18.4,9.85
9,20.5,9.950000000000001
10,22.05,8.4
11,23.549999999999997,10.05
12,24.099999999999998,9.55
13,25.75,10.35
14,25.2,9.4
15,26.75,11.65
16,27.150000000000002,10.4
17,27.3,10.0
18,28.65,8.450000000000001
19,28.999999999999996,9.2
20,29.95,43.7
21,29.95,24.75
22,30.85,15.8
23,31.5,12.8
24,31.85,10.35
25,31.45,8.85
26,32.15,9.0
27,33.5,10.75
28,33.1,11.600000000000001
29,34.849999999999994,13.700000000000001
30,34.300000000000004,17.95
31,34.699999999999996,18.65
32,34.55,17.5
33,35.15,18.0
34,34.449999999999996,15.9
35,35.099999999999994,14.35
36,34.449999999999996,15.55
37,35.449999999999996,16.35
38,36.1,15.299999999999999
39,35.85,15.299999999999999
40,35.949999999999996,15.5
41,35.85,16.950000000000003
42,36.65,16.5
43,35.9,16.3
44,36.1,17.849999999999998
45,36.8,15.55
46,37.4,16.85
47,37.35,17.349999999999998
48,37.45,16.400000000000002
49,36.85,17.0
50,36.95,17.849999999999998
51,37.2,17.5
52,37.0,18.9
53,37.25,16.900000000000002
54,37.45,17.65
55,37.75,17.150000000000002
56,38.2,18.15
57,37.05,17.05
58,37.7,18.5
59,39.550000000000004,18.05
60,38.05,17.150000000000002
61,37.75,18.55
62,40.400000000000006,18.099999999999998
63,38.25,18.15
64,38.2,17.7
65,38.05,19.400000000000002
66,39.5,20.05
67,39.35,19.15
68,39.2,18.6
69,39.75,20.75
70,39.1,20.5
71,39.5,21.75
72,39.65,20.05
73,39.65,20.9
74,40.1,20.1
75,39.900000000000006,19.950000000000003
76,40.75,21.2
77,40.050000000000004,22.45
78,40.150000000000006,19.75
79,39.95,23.35
80,40.150000000000006,20.599999999999998
81,40.65,20.8
82,40.25,21.349999999999998
83,40.849999999999994,21.8
84,40.6,22.95
85,41.05,24.85
86,40.75,23.400000000000002
87,40.9,25.05
88,40.6,22.75
89,41.25,23.5
90,41.0,26.700000000000003
91,40.949999999999996,22.45
92,41.8,24.65
93,41.8,25.0
94,41.85,25.05
95,42.0,26.700000000000003
96,41.9,26.400000000000002
97,41.6,25.85
98,42.8,27.650000000000002
99,42.65,27.500000000000004
100,42.8,25.15
101,41.75,27.800000000000004
102,42.75,27.150000000000002
103,42.35,27.85
104,43.7,27.450000000000003
105,43.5,27.0
106,43.3,28.9
107,43.15,28.549999999999997
108,43.4,27.35
109,43.7,30.3
110,42.65,30.95
111,43.6,29.95
112,43.1,30.55
113,44.1,30.3
114,43.85,32.2
115,43.35,32.65
116,43.3,32.25
117,44.25,32.45
118,44.75,35.099999999999994
119,44.15,31.75
120,43.9,32.75
121,45.5,32.7
122,44.800000000000004,34.25
123,44.95,34.1
124,43.95,34.599999999999994
125,45.050000000000004,34.150000000000006
126,44.9,34.699999999999996
127,45.300000000000004,36.15
128,44.45,36.1
129,45.550000000000004,36.65
130,44.95,36.6
131,44.65,36.4
132,44.3,37.5
133,45.0,37.55
134,45.65,38.2
135,45.300000000000004,37.7
136,44.95,35.65
137,44.75,36.5
138,45.300000000000004,38.85
139,45.550000000000004,38.35
140,45.85,38.550000000000004
141,45.550000000000004,38.65
142,45.050000000000004,39.5
143,45.15,39.5
144,45.35,39.75
145,46.050000000000004,39.65
146,45.25,39.5
147,45.7,41.65
148,44.95,42.199999999999996
149,45.95,42.15
150,45.5,42.8
151,46.7,45.1
152,46.050000000000004,44.95
153,47.0,44.95
154,47.0,45.2
155,46.949999999999996,45.0
156,47.949999999999996,45.800000000000004
157,47.099999999999994,45.6
158,45.7,45.800000000000004
159,45.75,44.85
160,46.800000000000004,45.4
161,46.9,46.25
162,46.550000000000004,47.15
163,46.25,47.55
164,46.0,48.199999999999996
165,47.349999999999994,49.75
166,47.05,50.14999999999999
167,46.9,50.55
168,47.349999999999994,49.95
169,46.400000000000006,50.949999999999996
170,47.05,51.15
171,45.65,50.9
172,47.4,50.64999999999999
173,47.65,50.8
174,47.25,50.949999999999996
175,48.35,50.55
176,48.4,49.55
177,47.599999999999994,50.3
178,47.75,52.2
179,47.4,52.400000000000006
180,47.699999999999996,50.5
181,46.6,51.0
182,47.0,51.800000000000004
183,46.550000000000004,52.900000000000006
184,48.35,53.300000000000004
185,47.75,52.900000000000006
186,48.0,53.15
187,48.1,55.1
188,48.6,54.949999999999996
189,47.449999999999996,56.95
190,48.15,56.699999999999996
191,48.4,55.55
192,48.15,55.65
193,47.349999999999994,56.85
194,48.35,55.60000000000001
195,48.85,56.89999999999999
196,48.4,57.65
197,48.0,57.199999999999996
198,48.5,56.55
199,48.85,57.8
200,48.949999999999996,58.3
201,48.65,58.8
202,48.4,58.199999999999996
203,49.35,58.699999999999996
204,49.4,57.99999999999999
205,50.1,59.35
206,48.75,59.45
207,49.7,60.8
208,49.55,59.3
209,49.6,60.3
210,49.0,59.75
211,49.45,60.95
212,49.05,61.95
213,49.05,62.3
214,50.3,62.8
215,50.05,62.35000000000001
216,48.449999999999996,62.3
217,50.55,63.1
218,49.85,62.949999999999996
219,48.949999999999996,62.9
220,50.6,63.3
221,50.6,63.0
222,50.3,63.05
223,50.2,63.6
224,51.0,62.64999999999999
225,49.9,62.55
226,50.64999999999999,62.74999999999999
227,50.1,63.0
228,50.5,63.449999999999996
229,50.449999999999996,64.55
230,50.8,64.85
231,50.05,65.85
232,50.1,65.25
233,50.5,65.25
234,50.7,65.5
235,50.74999999999999,65.25
236,51.74999999999999,65.35
237,51.2,65.60000000000001
238,51.05,65.85
239,51.2,65.85
240,50.4,66.55
241,50.55,66.4
242,52.400000000000006,67.0
243,51.449999999999996,66.35
244,51.9,66.85
245,52.55,66.45
246,52.25,66.60000000000001
247,51.7,66.9
248,52.25,66.7
249,51.6,67.35
250,51.55,67.05
251,53.15,67.25
252,52.449999999999996,67.0
253,52.800000000000004,67.30000000000001
254,52.15,68.5
255,53.1,68.60000000000001
256,52.05,68.10000000000001
257,52.849999999999994,68.0
258,52.400000000000006,67.45
259,52.65,67.9
260,53.449999999999996,67.9
261,53.0,67.85
262,52.75,67.35
263,53.2,67.25
264,54.15,67.4
265,52.7,68.35
266,52.900000000000006,67.95
267,53.1,68.2
268,53.1,67.80000000000001
269,53.900000000000006,67.7
270,53.75,68.55
271,53.2,68.4
272,54.25,68.75
273,53.25,69.6
274,53.349999999999994,70.3
275,52.349999999999994,70.45
276,53.400000000000006,69.8
277,54.400000000000006,69.6
278,53.5,69.69999999999999
279,53.65,69.75
280,53.900000000000006,69.89999999999999
281,54.05,70.89999999999999
282,54.05,71.05
283,53.400000000000006,70.65
284,54.400000000000006,70.55
285,54.449999999999996,70.55
286,53.65,70.55
287,54.300000000000004,71.15
288,54.6,71.5
289,54.449999999999996,71.85000000000001
290,54.85,72.25
291,54.50000000000001,72.05
292,53.300000000000004,71.65
293,54.800000000000004,72.1
294,54.85,72.15
295,54.300000000000004,72.2
296,54.50000000000001,72.95
297,53.349999999999994,72.95
298,54.400000000000006,73.4
299,54.7,72.75
300,54.7,72.89999999999999
301,54.50000000000001,72.45
302,55.25,72.95
303,53.7,73.15
304,55.15,73.25
305,54.65,73.3
306,54.55,73.3
307,53.5,72.89999999999999
308,54.800000000000004,73.35000000000001
309,54.6,73.1
310,54.15,74.35000000000001
311,55.7,74.5
312,54.800000000000004,74.75
313,55.400000000000006,74.75
314,55.400000000000006,74.85000000000001
315,54.449999999999996,74.1
316,54.75,74.55000000000001
317,55.05,74.25
318,55.00000000000001,74.5
319,56.00000000000001,75.25
320,53.7,75.75
321,55.7,75.4
322,55.50000000000001,75.75
323,56.05,75.35
324,54.85,74.9
325,55.50000000000001,75.7
326,54.7,75.55
327,55.35,75.7
328,55.50000000000001,76.1
329,54.15,76.3
330,55.45,76.55
331,55.60000000000001,76.25
332,55.7,76.4
333,55.95,76.3
334,56.10000000000001,75.85
335,56.45,75.94999999999999
336,56.3,76.5
337,56.65,75.8
338,56.39999999999999,76.3
339,56.599999999999994,76.1
340,56.8,77.0
341,56.2,76.1
342,56.35,76.05
343,56.85,76.64999999999999
344,56.699999999999996,76.55
345,56.25,76.25
346,56.35,76.55
347,56.85,76.6
