,0.1
0,10.6
1,9.8
2,11.200000000000001
3,10.5
4,11.95
5,13.700000000000001
6,14.35
7,16.5
8,15.45
9,17.75
10,19.8
11,20.599999999999998
12,21.5
13,22.6
14,22.95
15,24.2
16,24.55
17,25.0
18,25.95
19,26.950000000000003
20,27.05
21,27.3
22,29.15
23,28.9
24,29.65
25,31.0
26,30.5
27,31.3
28,31.45
29,32.0
30,32.0
31,32.1
32,32.550000000000004
33,33.300000000000004
34,33.35
35,34.1
36,34.050000000000004
37,34.1
38,34.65
39,34.4
40,35.35
41,36.199999999999996
42,36.55
43,35.9
44,35.75
45,36.55
46,37.3
47,36.25
48,36.5
49,38.0
50,36.85
51,38.0
52,37.45
53,37.4
54,37.85
55,37.65
56,38.2
57,38.550000000000004
58,39.900000000000006
59,39.4
60,39.75
61,40.150000000000006
62,40.35
63,40.65
64,40.550000000000004
65,40.550000000000004
66,40.65
67,41.3
68,41.25
69,42.199999999999996
70,41.65
71,41.6
72,42.1
73,41.3
74,42.15
75,42.1
76,43.2
77,42.699999999999996
78,43.55
79,43.25
80,43.2
81,44.2
82,43.65
83,43.35
84,43.65
85,43.55
86,42.6
87,43.9
88,44.0
89,44.2
90,44.7
91,44.65
92,45.85
93,44.800000000000004
94,45.25
95,45.050000000000004
96,44.95
97,44.75
98,45.300000000000004
99,47.0
100,45.6
101,46.050000000000004
102,45.1
103,46.5
104,47.199999999999996
105,46.85
106,46.949999999999996
107,46.25
108,47.65
109,47.949999999999996
110,46.800000000000004
111,47.599999999999994
112,47.5
113,47.55
114,47.349999999999994
115,47.9
116,48.25
117,48.8
118,49.35
119,48.75
120,48.449999999999996
121,48.199999999999996
122,48.949999999999996
123,49.4
124,49.1
125,50.1
126,49.9
127,48.9
128,49.5
129,49.7
130,49.65
131,49.55
132,49.45
133,50.74999999999999
134,50.6
135,51.4
136,50.449999999999996
137,51.0
138,51.9
139,51.849999999999994
140,51.55
141,51.949999999999996
142,51.800000000000004
143,52.7
144,52.349999999999994
145,52.7
146,52.15
147,52.55
148,52.75
149,53.349999999999994
150,52.849999999999994
151,54.1
152,54.05
153,54.0
154,53.349999999999994
155,54.35
156,54.449999999999996
157,54.1
158,54.50000000000001
159,53.849999999999994
160,53.900000000000006
161,55.1
162,54.900000000000006
163,55.2
164,53.849999999999994
165,55.50000000000001
166,55.2
167,55.05
168,55.75
169,54.85
170,54.7
171,56.25
172,55.15
173,55.15
174,55.25
175,56.39999999999999
176,56.45
177,55.60000000000001
178,55.55
179,56.05
180,56.599999999999994
181,55.50000000000001
182,56.15
183,56.699999999999996
184,56.3
185,56.3
186,57.45
187,56.45
188,57.65
189,57.25
190,57.99999999999999
191,57.95
192,57.9
193,57.8
194,58.35
195,58.25
196,57.49999999999999
197,57.05
198,58.85
199,58.4
200,58.75
201,57.550000000000004
202,57.699999999999996
203,57.95
204,58.599999999999994
205,58.45
206,58.550000000000004
207,59.9
208,59.050000000000004
209,60.099999999999994
210,58.699999999999996
211,59.25
212,59.050000000000004
213,59.8
214,59.75
215,59.85
216,61.050000000000004
217,60.4
218,60.85
219,60.35
220,60.8
221,61.7
222,60.0
223,61.1
224,60.550000000000004
225,60.8
226,60.699999999999996
227,61.150000000000006
228,61.050000000000004
229,61.35
230,62.2
231,60.85
232,60.8
233,62.1
234,61.9
235,61.6
236,63.05
237,61.7
238,63.05
239,62.050000000000004
240,62.6
241,61.8
242,63.14999999999999
243,62.050000000000004
244,62.64999999999999
245,62.2
246,63.0
247,62.9
248,62.64999999999999
249,61.9
250,62.4
251,62.74999999999999
252,61.45
253,63.349999999999994
254,63.5
255,62.45
256,62.7
257,63.14999999999999
258,63.7
259,64.4
260,64.8
261,64.8
262,64.4
263,63.65
264,63.5
265,64.64999999999999
266,64.4
267,65.10000000000001
268,65.7
269,64.14999999999999
270,63.55
271,64.14999999999999
272,64.9
273,65.25
274,65.75
275,66.14999999999999
276,65.60000000000001
277,66.2
278,66.3
279,65.55
280,65.25
281,65.64999999999999
282,65.64999999999999
283,66.5
284,66.45
285,65.55
286,66.3
287,65.95
288,65.45
289,66.5
290,67.45
291,65.55
292,66.60000000000001
293,66.25
294,66.95
295,66.75
296,67.25
297,67.30000000000001
298,65.05
299,65.2
300,66.60000000000001
301,67.80000000000001
302,65.85
303,66.85
304,66.14999999999999
305,66.45
306,67.25
307,67.7
308,67.05
309,66.9
310,66.85
311,66.75
312,66.9
313,67.35
314,67.05
315,67.35
316,66.0
317,66.35
318,66.95
319,67.35
320,67.05
321,67.60000000000001
322,67.80000000000001
